M01AB
1.33
5
7
1.34
4.01
3
8.67
7.34
3.33
9.33
4.5
5.68
3.33
4.5
6
3.17
7
9.5
6
4.34
5.67
5.66
7.34
3.34
3.66
1
5.83
9.66
7.33
5.99
1.67
0
6.33
1.34
4.34
5.33
6.33
2.33
10.33
6
4.34
11
5.66
8.33
3.54375
0.2125
6.25
6.804166667
7.504166667
4.583333333
2.916666667
5.416666667
3.8875
6.3875
9.308333333
8.333333333
6.804166667
5.975
8.05
6.670833333
7.225
6.741666667
5
3.608333333
5.695833333
4.5125
5.1375
6.1125
7.779166667
5.979166667
7.85
5.970833333
5.141666667
8.058333333
4.441666667
7.375
8.195833333
7.6375
7.779166667
10.67
10
3
11
3.9825
4.01
5.33
10
0
4.33
6
3.66
3
7
3.34
5
5
3.67
6.67
1
6
5.33
5.67
5.34
4
5
9
5.01
12.33
6.83
2.34
1
11.33
2
6.33
7.68
2.33
2.67
3.66
6
4.33
5
10
1.66
9.16
1.66
7.34
1.67
10
5.34
4.84
2.67
6.34
1.33
4
2.33
6.67
6.33
0.33
5
5
3.5
7.51
4.99
8.66
4
11.99
5
7.34
11.67
0
4
7.33
1
4.66
3.67
2.64
9
9.33
8
3
3.33
3.33
5
1
0.34
2
1.33
5.67
2.34
7.33
6.33
2.33
7.33
8.66
6
4.99
5
4.67
5.34
2.33
6.34
3.33
4.34
3.99
6
5.33
3
6.68
5.66
2.34
7.33
1.99
3.34
8
4
1.34
2.33
5
7
3.33
1
5.33
5
1.33
9
5.5
4.34
2.99
1.33
3
4
2
4
1.33
9.33
4
1
1
5
6.5
7.68
4
4
4
6.67
3.33
5
3.67
10.67
4.5
4.33
5
4.99
2.33
2
3.34
2
3.33
2.33
3.33
11.34
9
9.67
6.33
5
2.33
3
6.5
3.84
6.34
3.33
5
4
3
4.125
7.34
7.33
6
6.33
8
4.66
2
1
6
2.33
0
4.33
2.69
3.66
11.34
2.33
5.33
5.16
2.33
5
4.33
9.33
6
3.33
8
6
4.99
3
8
7
7.67
16.68
3.34
6.34
6.83
6.5
6.17
4.33
3
8.83
6
3.34
2
1
4
5
3
7
5
9
3.33
2
7.34
4.66
9.99
3.66
1
2
4
3.34
1
5.33
4
8.33
0.34
2
5.33
3.99
4
8.67
0
10
3.5
4
5.33
4.84
6
2.33
3.34
5.34
4.33
2.83
3.33
8
3.33
2
6.34
1.33
6.32
5
7.66
1.5
4.33
0.67
4
2.33
10.34
6.33
8.34
0.67
6
2.67
9.34
8.5
5
9.33
3
5.33
5.33
3
5.33
4
2.34
13.33
2
9.33
8
5.33
5.66
1.34
5
6.34
5.67
10.33
4.33
5.33
1
3.68
4
3
5.33
5
5
8
1.33
4
3
4.18
11
7
0.66
0
2
2.02
5.99
6
7.66
1
2.99
7
7.33
9.34
8.68
13.83
0
1
4.67
6
12
4.66
0
2.33
5.33
9.33
4
5.66
3.5
4.33
6.99
6.34
6.67
4.33
6.33
2.66
3.33
6
1
7.33
3.66
3
3.34
1.5
2.33
4.33
0.33
5.34
2.33
4.33
7.99
7.33
4.34
4.84
6.33
3
10.01
6.33
8
6
1
1.5
7.68
1.33
6
1
4.18
1.34
5
5.83
8
4
1
3.33
1
1
4
8
1
4.33
9.5
4.5
1.33
6.33
6
4.66
9
2
2.34
3.34
3.33
3.99
7.33
4.34
2.67
2
3
5
7
4
5
4.34
5.5
7
5.33
9
6.83
5.66
1
6.01
6.33
3.67
16.18
0
5
2
6.67
5
4.5
8
7.66
2
3.34
5
5
5
3.5
6
7
6
9
5.33
6.68
9.33
7.33
5
2.34
6
2.33
1
9
3.34
9.66
10.5
9.34
8.5
9.33
1.33
5.16
6
4
4.01
2
2.34
2.34
7
12
3.67
1.5
2
2.33
3.33
6.33
7
9
4.34
3.5
12.33
8
5
3.33
4.33
6
2
4
8
2.66
8
2.34
12
0
1
3.34
4.84
4.5
4
3.66
3.35
5
5.33
1.67
3.33
10.33
2
3
1
6.84
2
3.33
6.34
1
4.33
2.33
6.33
7.33
3.33
6
10
3
1.34
0
10
9.33
2.33
2.5
6.84
5
4
3.66
8.68
9.68
5
4.33
2.34
6
3.5
3
7.33
1
0
4.01
5
6
8.33
2.33
4.33
2.67
6
4
10.99
3.33
1.33
8.34
3.33
2.33
6.33
6.33
4
2.34
5
5
4
3.67
11.33
3.34
2
6.67
2.33
4.34
2.34
6.68
1
4
6.5
6.66
2
10
4
7
9
4
2.83
8
6
3.33
3
4.34
6
2
4.66
6
7.34
7.33
6
3
4
2
3.5
11.01
3
6
6
6
4.84
2
2.68
4
2
9
2
6.33
6.99
2.34
7.17
6
2.33
4.34
4
2.34
6.67
2.66
2.34
4
5.33
4
8.34
5.33
5.35
9.33
2
7.84
5.14
3
13.99
6.33
3.33
7
3
5
4.33
11
2.34
6.33
5.66
2
8.33
8
4.68
6.01
5.33
7
8
6
5.66
5.33
5.33
8
3
4.33
1
7
3.17
6
2.5
5.33
0
5
0
4.66
4
4
4.33
3.68
2
4
1.33
6.34
0.33
0
8.34
2
8.34
12.33
8.67
8
1
3.68
11.67
6.68
5.33
8
0
5.33
4.33
7
8.01
8.33
0
4.34
3
8
5.33
6.66
8.33
9
4.33
7.5
5.34
6.33
7.02
11.67
4.34
6.83
3.33
4
2.33
7
10.52
8.5
5
6.33
1.67
11.34
13.34
6
6.33
5.33
6.34
2.33
2
6.68
3.34
8
6.66
4
2.33
5.34
6.34
2.34
3.34
3.33
2.34
1.66
2.33
5.01
4.34
5.34
2.33
5
0.67
1.33
4.01
8
5.33
3.01
0.34
7.33
2.33
6.34
5.83
14.66
4.33
2.67
4
2.83
8.34
6.68
2.33
9
5.67
2.33
4.66
6
6
4.84
4
6.34
1.33
3
4.66
7
3.01
7.67
5.33
4.5
6.34
3.34
6
5
2.83
2.34
7.33
4.33
4.5
4
4.66
2
7
0
3.34
9
3.84
8.67
9
2.34
14.01
6.34
17.34
0
5.33
2
2.34
1.68
4.01
9
7
4.68
2.66
9
5
5
5.34
4.67
5
6.67
4
5
2.66
10
6.67
3.67
5.34
8.16
2.33
5.34
11
6.33
4.67
4.33
5.5
5
5.99
3
4
0.33
6.34
5
7.67
6
3
9.33
3
11.34
8
0.68
3.18
7
4
6.66
5
3.67
5
3
3
9.33
10
2.34
2
8.16
4.33
1.18
6
5.33
5.66
4
5.33
4.33
4.34
5.66
6
2.67
10
3.33
11
5
6
7.33
7
3.99
11
7.33
4.34
6.34
1
1.34
8
6
12.5
3.34
4.34
9
9.5
0
8.67
5
5.34
6.5
4
10
6
7.66
3
3.33
7
8.33
8
4.34
8.67
3.33
7.67
4.84
3.68
2
4.34
5.34
9.67
13.84
3
2.67
2.34
3.33
9
6.34
4.68
2
5.33
9.36
2
7
1.68
8.33
7.01
1.18
8.66
2.67
2.33
6.34
8.99
5.34
9.33
4.5
6.33
7.33
5.34
10.68
3.33
5.34
2
6
5.5
4.66
7
3.51
2
11.34
5.18
5
7.34
3.84
4
7.34
0.33
